Sl.No,City/District,Total No. of Accidents,No. of Persons Injured,No. of Persons Killed,,
1,Chennai City,9465,9255,1046,,
2,Coimbatore City,1594,1435,269,,
3,Madurai City,691,643,101,,
4,Salem City,886,920,178,,
5,Tirunelveli City,393,452,90,,
6,Tiruppur City,719,646,154,,
7,Trichy City,711,766,180,,
8,Ariyalur,522,604,153,,
9,Coimbatore,2343,2240,679,,
10,Cuddalore,3680,5229,521,,
11,Dharmapuri,1596,1752,367,,
12,Dindigul,1820,2555,469,,
13,Erode,1947,2232,507,,
14,Kancheepuram,3253,3640,865,,
15,Kanniyakumari,1137,1327,258,,
16,Karur,1025,1329,334,,
17,Krishnagiri,1847,2153,564,,
18,Madurai,2039,2298,507,,
19,Nagapattinam,1373,1552,273,,
20,Namakkal,2110,2172,428,,
21,The Nilgiris,289,422,60,,
22,Perambalur,493,805,176,,
23,Pudukottai,1234,1224,339,,
24,Ramanathapuram,909,1079,285,,
25,Salem,2180,2174,545,,
26,Sivagangai,891,1304,271,,
27,Tanjore,2154,2451,463,,
28,Theni,1190,1824,214,,
29,Tirunelveli,1936,2403,451,,
30,Tiruppur,2090,2349,611,,
31,Tiruvallur,1363,1537,394,,
32,Tiruvannamalai,1544,1729,446,,
33,Tiruvarur,1008,1212,193,,
34,Trichy,1629,2277,457,,
35,Tuticorin,1308,1473,338,,
36,Vellore,3309,4183,862,,
37,Villupuram,3269,4522,790,,
38,Virudhunagar,1285,1545,338,,
39,"Railway Police, Chennai",3,1,2,,
40,"Railway Police, Trichy",15,11,12,,
,,,,,,
,Total ,67250,77725,15190,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
