Si. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,State,Andhra Pradesh,6487,7215,2858,4335,4830,1704,0,0,0,7102,7630,2477,17924,19675,7039
2,State,Arunachal Pradesh,60,53,33,62,66,34,0,0,0,37,24,23,159,143,90
3,State,Assam,2896,2202,1370,1733,1319,633,247,171,67,1861,1373,743,6737,5065,2813
4,State,Bihar,3932,2613,3061,2311,2213,1902,0,0,0,2396,2193,1735,8639,7019,6698
5,State,Chhattisgarh,3544,2985,1469,2120,1894,943,0,0,0,6010,5670,2204,11674,10549,4616
6,State,Goa,770,273,75,359,125,34,0,0,0,1246,477,115,2375,875,224
7,State,Gujarat,3201,2753,1724,3600,3247,1952,63,80,28,6543,5904,2496,13407,11984,6200
8,State,Haryana,2867,2159,1489,1817,1527,976,125,102,108,4697,3839,2058,9506,7627,4631
9,State,Himachal Pradesh,1021,1505,356,338,528,123,0,0,0,876,1175,385,2235,3208,864
10,State,Jharkhand,1736,1247,1176,1277,899,1011,0,0,0,1392,1149,857,4405,3295,3044
11,State,Karnataka,11230,13131,3330,9465,11791,2899,0,0,0,13483,14570,3531,34178,39492,9760
12,State,Kerala,6625,7373,864,6843,7760,724,0,0,0,14331,15369,1389,27799,30502,2977
13,State,Madhya Pradesh,8669,8691,3001,10936,10730,2948,0,0,0,22791,22361,5716,42396,41782,11665
14,State,Maharashtra,5665,4618,3334,5800,4672,3365,143,94,60,10603,7781,5259,22211,17165,12018
15,State,Manipur,273,401,90,106,176,16,0,0,0,53,85,21,432,662,127
16,State,Meghalaya,125,162,80,15,13,9,0,0,0,65,37,49,205,212,138
17,State,Mizoram,23,27,26,17,14,21,0,0,0,7,4,6,47,45,53
18,State,Nagaland,13,12,11,8,11,9,0,0,0,6,7,7,27,30,27
19,State,Odisha,3613,3351,1760,2494,2158,1245,71,73,31,3639,3240,1702,9817,8822,4738
20,State,Punjab,1723,903,1409,1351,896,940,24,11,20,2075,1071,1547,5173,2881,3916
21,State,Rajasthan,5719,5083,3289,3315,2860,1806,44,34,28,10043,8806,4129,19121,16783,9252
22,State,Sikkim,32,51,11,37,57,9,0,0,0,39,88,22,108,196,42
