Year,National Highways - Road Accidents,National Highways - Persons Killed,National Highways - Persons Injured,State Highways - Road Accidents,State Highways - Persons Killed,State Highways - Persons Injured,Other Roads - Road Accidents,Other Roads - Persons Killed,Other Roads - Persons Injured
2005,29.6,37.3,31.3,23.6,27.2,25.7,46.8,35.5,43
2006,30.4,37.7,30.8,18.5,26.8,24.9,51.1,35.5,44.3
2007,29,35.5,30.2,24.4,27.7,26.2,46.6,36.8,43.6
2008,28.5,35.6,28.6,25.6,28.4,27.5,45.9,36,43.9
2009,29.3,36,29.6,23.8,27.1,25.5,46.9,36.9,44.9
2010,30,36.1,31.3,24.5,27.3,26,45.5,36.6,42.7
2011,30.1,37.1,30.5,24.6,27.4,26.1,45.3,35.5,43.4
2012,29.1,35.3,30.1,24.2,27.3,25.9,46.7,37.4,44
2013,28.1,33.2,28.9,25.6,29.6,27.6,46.3,37.2,43.5
2014,28.2,34.1,29.9,25.2,29.1,26.8,46.6,36.8,43.3
2015,28.4,35,29.1,24,28,26.3,47.6,37,44.6
2016,29.6,34.5,29.6,25.3,27.9,25.8,45.1,37.6,44.6
2017,30.4,36,30.3,25,26.9,25.4,44.6,37.1,44.3
