Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,State,ANDHRA PRADESH,7709,9167,3062,5776,7346,2025,0,0,0,9354,12926,3210,22839,29439,8297
2,State,ARUNACHAL PRADESH,112,148,52,68,110,82,0,0,0,104,125,43,284,383,177
3,State,ASSAM,3375,3618,1312,1859,2085,570,0,0,0,1725,1365,502,6959,7068,2384
4,State,BIHAR,3566,2285,2166,3292,2222,1906,137,35,111,2572,1783,1317,9567,6325,5500
5,State,CHHATTISGARH,4058,3579,1230,3898,3300,1132,0,0,0,6490,6547,1720,14446,13426,4082
6,State,GOA,1755,768,123,550,365,40,0,0,0,2033,1121,151,4338,2254,314
7,State,GUJARAT,4639,4077,2047,6991,6765,2683,156,149,81,11576,10514,3434,23362,21505,8245
8,State,HARYANA,3711,3473,1859,3467,3259,1577,378,400,136,3731,3487,1473,11287,10619,5045
9,State,HIMACHAL PRADESH,1184,1772,369,710,1406,273,0,0,0,1116,1930,454,3010,5108,1096
10,State,JAMMU & KASHMIR,2085,2858,374,670,941,76,0,0,0,3092,4449,473,5847,8248,923
11,State,JHARKHAND,1869,1432,1224,1480,1197,783,138,123,101,1675,1286,785,5162,4038,2893
12,State,KARNATAKA,13888,18262,3794,10693,14347,3027,92,72,21,19338,24290,4015,44011,56971,10857
13,State,KERALA,9835,10857,1387,7418,8375,939,0,0,0,21761,24236,1870,39014,43468,4196
14,State,MADHYA PRADESH,8407,8654,2750,10565,11256,2923,799,691,117,21088,20277,3968,40859,40878,9758
15,State,MAHARASHTRA,9619,9396,3577,10463,10105,4053,412,194,198,21756,19606,5857,42250,39301,13685
16,State,MANIPUR,404,714,89,136,224,25,0,0,0,128,180,15,668,1118,129
17,State,MEGHALAYA,252,290,139,93,181,30,1,0,0,75,118,36,421,589,205
18,State,MIZORAM,32,23,23,31,50,36,0,0,0,8,5,6,71,78,65
19,State,NAGALAND,22,22,22,7,0,10,0,0,0,13,34,15,42,56,47
20,State,ODISHA,3830,4456,1635,3730,4074,1610,107,69,47,2875,3226,1011,10542,11825,4303
21,State,PUNJAB,2007,1362,1561,1907,1401,1430,0,0,0,2788,1651,1902,6702,4414,4893
22,State,RAJASTHAN,6459,6747,3589,3641,3969,1909,643,551,360,13329,14886,4652,24072,26153,10510
23,State,SIKKIM,33,44,12,80,111,26,0,0,0,98,166,37,211,321,75
24,State,TAMIL NADU,21048,23753,5479,23165,26992,5689,854,1021,219,23992,27980,4255,69059,79746,15642
25,State,TELANGANA,5150,5591,2086,3852,4445,1641,0,0,0,12250,12912,3383,21252,22948,7110
26,State,TRIPURA,230,422,50,267,413,64,0,0,0,150,194,44,647,1029,158
27,State,UTTAR PRADESH,9556,5897,6624,6775,4087,4488,410,202,301,11354,7198,6994,28095,17384,18407
28,State,UTTARAKHAND,705,713,464,399,146,221,0,0,0,419,798,228,1523,1657,913
29,State,WEST BENGAL,3661,3369,2124,3791,3365,1893,419,298,149,9835,8372,2539,17706,15404,6705
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),129201,133749,49223,115774,122537,41161,4546,3805,1841,204725,211662,54389,454246,471753,146614
30,Union Territories,A & N ISLANDS,96,119,4,32,40,5,0,0,0,130,172,14,258,331,23
31,Union Territories,CHANDIGARH,45,39,19,0,0,0,0,0,0,368,292,110,413,331,129
32,Union Territories,D & N HAVELI,0,0,0,0,0,0,0,0,0,69,97,42,69,97,42
33,Union Territories,DAMAN & DIU,6,2,5,0,0,0,0,0,0,64,62,37,70,64,42
34,Union Territories,DELHI (UT),815,841,251,139,128,34,28,59,8,7103,7230,1329,8085,8258,1622
35,Union Territories,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0
36,Union Territories,PUDUCHERRY,722,724,149,223,251,19,0,0,0,585,577,67,1530,1552,235
TOTAL (UTs),TOTAL (UTs),TOTAL (UTs),1684,1725,428,394,419,58,28,59,8,8322,8433,1599,10428,10636,2093
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),130885,135474,49651,116168,122956,41219,4574,3864,1849,213047,220095,55988,464674,482389,148707
37,City,AGRA,439,272,263,213,139,121,48,40,34,321,261,127,1021,712,545
38,City,AHMEDABAD,98,63,43,185,146,61,6,3,3,1733,1519,280,2022,1731,387
39,City,ALLAHABAD,256,144,168,248,168,142,0,0,0,507,348,237,1011,660,547
40,City,AMRITSAR,61,28,55,75,46,34,0,0,0,14,15,10,150,89,99
41,City,ASANSOL,86,44,51,43,23,33,0,0,0,234,117,134,363,184,218
42,City,AURANGABAD,0,0,0,434,382,52,0,0,0,2689,2533,156,3123,2915,208
43,City,BENGALURU,925,733,206,222,213,45,67,42,18,3787,3061,621,5001,4049,890
