S.No,City / District,Total Number of Accidents (2018),Number of Persons Injured (2018),Number of Persons Killed (2018)
1,Chennai City,7580,7438,1260
2,Coimbatore City,1136,1140,162
3,Madurai City,962,945,153
4,Salem City,902,997,142
5,Tirunelveli City,367,370,60
6,Tiruppur City,751,742,109
7,Tiruchirappalli City,602,651,122
8,Ariyalur,642,905,98
9,Coimbatore,2055,2097,534
10,Cuddalore,3493,4279,449
11,Dharmapuri,1447,1700,204
12,Dindigul,1840,2383,488
13,Erode,2336,2977,365
14,Kancheepuram,3176,3529,856
15,Kanniyakumari,1386,1362,229
16,Karur,1107,1231,231
17,Krishnagiri,1805,2175,410
18,Madurai,1777,2225,330
19,Nagapattinam,1410,1578,226
20,Namakkal,2043,2171,413
21,Nilgiris,228,504,43
22,Perambalur,536,882,112
23,Pudukkottai,1227,1380,268
24,Ramanathapuram,1008,1325,244
25,Salem,2256,2246,425
26,Sivaganga,863,1045,244
27,Thanjavur,2051,2252,231
28,Theni,1037,1745,225
29,Tirunelveli,2075,2646,438
30,Tiruppur,2312,2947,500
31,Tiruvallur,1250,1415,283
32,Tiruvannamalai,1456,1598,327
33,Tiruvarur,964,1189,99
34,Tiruchirappalli,1571,2207,344
35,Thoothukudi,1340,1561,310
36,Vellore,2604,2963,503
37,Villupuram,3262,4405,538
38,Virudhunagar,1054,1321,238
39,"Railway Police, Chennai",6,7,3
40,"Railway Police, Tiruchirappalli",3,4,0
Total,Total,63920,74537,12216
