SI. No,States/UTs,2012 - Total number of Accidents,2012 - Persons Killed,2013 - Total number of Accidents,2013 - Persons Killed,2014 - Total number of Accidents,2014 - Persons Killed
1,Andhra Pradesh,1067,355,1170,298,293,80
2,Arunachal Pradesh,14,6,15,8,8,5
3,Assam,70,20,17,1,56,20
4,Bihar,382,123,309,54,729,352
5,Chhattisgarh,264,426,277,61,317,45
6,Goa,6,0,19,2,28,0
7,Gujarat,396,101,434,137,205,68
8,Haryana,81,0,85,0,80,0
9,Himachal Pradesh,0,0,0,0,0,0
10,Jammu & Kashmir,67,16,78,15,43,17
11,Jharkhand,206,126,172,68,275,171
12,Karnataka,415,100,586,105,1114,227
13,Kerala,115,3,111,4,110,8
14,Madhya Pradesh,472,101,2249,145,1895,140
15,Maharashtra,394,112,317,106,380,110
16,Manipur,57,12,7,0,24,7
17,Meghalaya,10,4,0,0,0,0
18,Mizoram,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0
20,Orissa,321,129,287,97,292,91
21,Punjab,132,94,120,78,140,73
22,Rajasthan,426,84,292,30,131,8
23,Sikkim,0,0,0,0,0,0
24,Tamil Nadu,728,181,782,231,1119,236
25,Telangana,NA,NA,NA,NA,293,80
26,Tripura,3,0,2,1,1,0
27,Uttarakhand,25,27,27,18,27,35
28,Uttar Pradesh,4570,2299,4239,2190,3192,1753
29,West Bengal,511,253,1064,470,225,103
30,A & N Islands,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0
32,D & N Haveli,0,0,0,0,0,0
33,Daman & Diu,4,1,0,0,0,0
34,Delhi,NA,NA,NA,NA,NA,NA
35,Lakshadweep,0,0,0,0,0,0
36,Puducherry,10,4,16,3,31,4
Total,Total,10746,4577,12675,4122,11008,3633
