Sl. No.,States/UTs,Total Road Accidents,Persons Killed
1,Andhra Pradesh,5021,1541
2,Arunachal Pradesh,31,23
3,Assam,620,244
4,Bihar,1271,678
5,Chhattisgarh,1681,387
6,Goa,310,25
7,Gujarat,3250,1032
8,Haryana,4174,1856
9,Himachal Pradesh,134,42
10,Jammu & Kashmir,258,85
11,Jharkhand,637,332
12,Karnataka,4091,876
13,Kerala,5171,731
14,Madhya Pradesh,4994,690
15,Maharashtra,7829,1609
16,Manipur,119,16
17,Meghalaya,62,17
18,Mizoram,0,0
19,Nagaland,NA,NA
20,Odisha,1272,550
21,Punjab,1397,1024
22,Rajasthan,2893,1262
23,Sikkim,27,13
24,Tamil Nadu,9376,2231
25,Telangana,2367,818
26,Tripura,63,18
27,Uttarakhand,141,94
28,Uttar Pradesh,2287,1175
29,West Bengal,1366,620
30,Andaman & Nicobar Islands,18,1
31,Chandigarh,134,54
32,Dadra & Nagar Haveli,NA,NA
33,Daman & Diu,6,1
34,Delhi,NA,NA
35,Lakshadweep,0,0
36,Puducherry,212,33
Total,Total,61212,18078
