Sr.No,State/UTs,Total Number of Road Accidents - 2015,Total Number of Road Accidents - 2016,Total Number of Persons killed in Road Accidents - 2015,Total Number of Persons killed in Road Accidents - 2016
1,Andhra Pradesh,8477,8171,3235,3006
2,Arunachal Pradesh,113,95,49,58
3,Assam,3353,3478,1427,1295
4,Bihar,3227,3138,2002,2014
5,Chhattisgarh,4058,4042,1201,1181
6,Goa,1784,1438,132,113
7,Gujarat,4897,4617,2136,2141
8,Haryana,3509,3818,1759,1845
9,Himachal Pradesh,1211,1475,369,478
10,Jammu & Kashmir,1953,2122,357,403
11,Jharkhand,2007,1935,1325,1222
12,Karnataka,12705,14933,3657,4116
13,Kerala,9442,9209,1368,1263
14,Madhya Pradesh,11988,10709,2287,2564
15,Maharashtra,10839,10364,3789,3887
16,Manipur,404,325,94,46
17,Meghalaya,322,338,89,108
18,Mizoram,29,46,20,45
19,Nagaland,34,57,10,35
20,Odisha,4480,4214,1795,1812
21,Punjab,2092,2114,1538,1495
22,Rajasthan,6821,6567,3709,3737
23,Sikkim,117,90,37,39
24,Tamil Nadu,21902,22573,5752,6255
25,Telangana,5649,6166,2103,2173
26,Tripura,230,203,50,68
27,Uttarakhand,728,842,464,503
28,Uttar Pradesh,13802,13078,7773,7469
29,West Bengal,4288,4468,2243,2304
30,Andaman & Nicobar Islands,96,90,4,7
31,Chandigarh,45,47,19,24
32,Dadra & Nagar Haveli,0,0,0,0
33,Daman & Diu,6,0,5,0
34,Delhi,897,723,260,238
35,Lakshadweep,0,0,0,0
36,Puducherry,763,874,146,131
Total,Total,142268,142359,51204,52075
